Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
,,,,,,,40,4,Dark chocolate chips,1,604,46.3,11
,,,,,,,,4,Egg white,33,52,0.7,0
,,,,,,,100,4,"Milk, skimmed",1,37,5,0
,,,,,,,,4,"Banana, small",85,103,23.2,1.1
,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,200,,"Milk, skimmed",1,37,5,0
,,,,,,,300,,"Ginger beer, diet",1,1.7,0,0
23/07/19,,,,,,,3,,Oatibix,21.5,395,64,7.3
,,,,,,,250,,"Milk, skimmed",1,37,5,0
,,,,,,,100,,Celery,1,16,3,1.6
,,,,,,,100,,Cucumber,1,15,3.6,0.5
,,,,,,,100,,Pepper,1,32,7.6,1.4
,,,,,,,100,,Carrot ,1,41,9.6,2.8
,,,,,,,100,,Tzatziki,1,129,4.4,0.3
,,,,,,,100,,Houmous,1,278,10.6,5.3
,,,,,,,,3,"Pepper, red",115,32,7.6,1.4
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,100,3,Bacon medallions,1,541,1.4,0
,,,,,,,,3,"Chopped tomatoes, carton",400,20,3,0.9
,,,,,,,,3,Beef mince,500,168,0.1,0
,,,,,,,,3,"Garlic, clove",3,133,33.1,2.1
,,,,,,,40,3,Spray oil,0.2,2,0.3,0.1
,,,,,,,270,3,"Pasta, fusili, dry",1,355.6,72.2,3.1
,,,,,,,25,,Cheese,1,416,0.1,0.1
24/07/19,,,,,,,70,,Shredded Wheat,1,367,69,13
,,,,,,,250,,"Milk, skimmed",1,37,5,0
,,,,,,,,,Toasted teacake,40,262,48,3.2
,,,,,,,10,,Butter,1,717,0.1,0
